key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Name,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,QuestUnlock,,,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft,,,
int32,str,NotebookDivisionCategory,byte,byte,Quest,byte,byte,bit&01,byte,byte,bool,bool,bool,bool,bool,bool,bool,bool
0,"1-5","",0,0,,0,0,False,0,0,True,True,True,True,True,True,True,True
1,"6-10","",3,5,,0,0,False,0,0,True,True,True,True,True,True,True,True
2,"11-15","",8,10,,0,0,False,0,0,True,True,True,True,True,True,True,True
3,"16-20","",13,15,,0,0,False,0,0,True,True,True,True,True,True,True,True
4,"21-25","",18,20,,0,0,False,0,0,True,True,True,True,True,True,True,True
5,"26-30","",23,25,,0,0,False,0,0,True,True,True,True,True,True,True,True
6,"31-35","",28,30,,0,0,False,0,0,True,True,True,True,True,True,True,True
7,"36-40","",33,35,,0,0,False,0,0,True,True,True,True,True,True,True,True
8,"41-45","",38,40,,0,0,False,0,0,True,True,True,True,True,True,True,True
9,"46-50","",43,45,,0,0,False,0,0,True,True,True,True,True,True,True,True
10,"51-55","",48,50,,0,0,False,0,0,True,True,True,True,True,True,True,True
11,"56-60","",53,55,,0,0,False,0,0,True,True,True,True,True,True,True,True
12,"61-65","",58,60,,0,0,False,0,0,True,True,True,True,True,True,True,True
13,"66-70","",63,65,,0,0,False,0,0,True,True,True,True,True,True,True,True
14,"71-75","",68,70,,0,0,False,0,0,True,True,True,True,True,True,True,True
15,"76-80","",73,75,,0,0,False,0,0,True,True,True,True,True,True,True,True
16,"81-85","",78,80,,0,0,False,0,0,True,True,True,True,True,True,True,True
17,"86-90","",83,85,,0,0,False,0,0,True,True,True,True,True,True,True,True
18,"91-95","",88,90,,0,0,False,0,0,True,True,True,True,True,True,True,True
19,"96-100","",93,95,,0,0,False,0,0,True,True,True,True,True,True,True,True
20,"101-105","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
21,"106-110","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
22,"111-115","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
23,"116-120","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
24,"121-125","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
25,"126-130","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
26,"131-135","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
27,"136-140","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
28,"141-145","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
29,"146-150","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
30,"151-155","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
31,"156-160","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
32,"161-175","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
33,"166-170","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
34,"171-175","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
35,"176-180","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
36,"181-185","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
37,"186-190","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
38,"191-195","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
39,"196-200","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
40,"[翻訳不要] レベル区分終端","",255,255,,0,0,False,0,0,True,True,True,True,True,True,True,True
1000,"Master Recipes (1)","Master Recipes",50,255,,0,98,True,1,0,True,True,True,True,True,True,True,True
1001,"Master Recipes (2)","Master Recipes",50,255,,0,97,True,4,0,True,True,True,True,True,True,True,True
1002,"Master Recipes (3)","Master Recipes",50,255,,0,96,True,5,0,True,True,True,True,True,True,True,True
1003,"Master Recipes (4)","Master Recipes",60,255,,0,95,True,6,0,True,True,True,True,True,True,True,True
1004,"Master Recipes (5)","Master Recipes",70,255,,0,94,True,7,0,True,True,True,True,True,True,True,True
1005,"Master Recipes (6)","Master Recipes",70,255,,0,93,True,8,0,True,True,True,True,True,True,True,True
1006,"Master Recipes (7)","Master Recipes",80,255,,0,92,True,9,0,True,True,True,True,True,True,True,True
1007,"Master Recipes (8)","Master Recipes",80,255,,0,91,True,10,0,True,True,True,True,True,True,True,True
