key,0,1,2,3,4
#,MirageStoreSetItem[0],MirageStoreSetItem[1],,,
int32,MirageStoreSetItem,MirageStoreSetItem,uint32,uint32,uint32
1,"MirageStoreSetItem#0","MirageStoreSetItem#0",0,0,0
2642,"MirageStoreSetItem#45094","MirageStoreSetItem#0",0,0,0
2643,"MirageStoreSetItem#45095","MirageStoreSetItem#0",0,0,0
2650,"MirageStoreSetItem#45112","MirageStoreSetItem#0",0,0,0
2770,"MirageStoreSetItem#51330","MirageStoreSetItem#0",0,0,0
2771,"MirageStoreSetItem#51331","MirageStoreSetItem#0",0,0,0
2772,"MirageStoreSetItem#51329","MirageStoreSetItem#0",0,0,0
2920,"MirageStoreSetItem#50659","MirageStoreSetItem#0",0,0,0
2921,"MirageStoreSetItem#50660","MirageStoreSetItem#0",0,0,0
2922,"MirageStoreSetItem#50661","MirageStoreSetItem#0",0,0,0
2923,"MirageStoreSetItem#50662","MirageStoreSetItem#0",0,0,0
2924,"MirageStoreSetItem#50663","MirageStoreSetItem#0",0,0,0
2925,"MirageStoreSetItem#50664","MirageStoreSetItem#0",0,0,0
2926,"MirageStoreSetItem#50665","MirageStoreSetItem#0",0,0,0
2927,"MirageStoreSetItem#50666","MirageStoreSetItem#0",0,0,0
2928,"MirageStoreSetItem#50667","MirageStoreSetItem#0",0,0,0
2929,"MirageStoreSetItem#50668","MirageStoreSetItem#0",0,0,0
2930,"MirageStoreSetItem#50669","MirageStoreSetItem#0",0,0,0
2965,"MirageStoreSetItem#45094","MirageStoreSetItem#0",0,0,0
2966,"MirageStoreSetItem#45095","MirageStoreSetItem#0",0,0,0
2973,"MirageStoreSetItem#45102","MirageStoreSetItem#0",0,0,0
2974,"MirageStoreSetItem#45103","MirageStoreSetItem#0",0,0,0
2975,"MirageStoreSetItem#45104","MirageStoreSetItem#0",0,0,0
2976,"MirageStoreSetItem#45105","MirageStoreSetItem#0",0,0,0
2977,"MirageStoreSetItem#45106","MirageStoreSetItem#0",0,0,0
2978,"MirageStoreSetItem#45107","MirageStoreSetItem#0",0,0,0
2979,"MirageStoreSetItem#45108","MirageStoreSetItem#0",0,0,0
2980,"MirageStoreSetItem#45109","MirageStoreSetItem#0",0,0,0
2981,"MirageStoreSetItem#45110","MirageStoreSetItem#0",0,0,0
2982,"MirageStoreSetItem#45111","MirageStoreSetItem#0",0,0,0
2983,"MirageStoreSetItem#50467","MirageStoreSetItem#0",0,0,0
2984,"MirageStoreSetItem#50468","MirageStoreSetItem#0",0,0,0
2985,"MirageStoreSetItem#50469","MirageStoreSetItem#0",0,0,0
2986,"MirageStoreSetItem#50470","MirageStoreSetItem#0",0,0,0
2987,"MirageStoreSetItem#50471","MirageStoreSetItem#0",0,0,0
2988,"MirageStoreSetItem#50472","MirageStoreSetItem#0",0,0,0
2989,"MirageStoreSetItem#50473","MirageStoreSetItem#0",0,0,0
2990,"MirageStoreSetItem#50474","MirageStoreSetItem#0",0,0,0
2991,"MirageStoreSetItem#50475","MirageStoreSetItem#0",0,0,0
2992,"MirageStoreSetItem#50476","MirageStoreSetItem#0",0,0,0
2993,"MirageStoreSetItem#45112","MirageStoreSetItem#0",0,0,0
3034,"MirageStoreSetItem#51327","MirageStoreSetItem#0",0,0,0
3035,"MirageStoreSetItem#51328","MirageStoreSetItem#0",0,0,0
3122,"MirageStoreSetItem#51329","MirageStoreSetItem#0",0,0,0
3123,"MirageStoreSetItem#51330","MirageStoreSetItem#0",0,0,0
3124,"MirageStoreSetItem#51331","MirageStoreSetItem#0",0,0,0
3189,"MirageStoreSetItem#51332","MirageStoreSetItem#0",0,0,0
3190,"MirageStoreSetItem#51333","MirageStoreSetItem#0",0,0,0
3229,"MirageStoreSetItem#50659","MirageStoreSetItem#0",0,0,0
3230,"MirageStoreSetItem#50660","MirageStoreSetItem#0",0,0,0
3231,"MirageStoreSetItem#50661","MirageStoreSetItem#0",0,0,0
3232,"MirageStoreSetItem#50662","MirageStoreSetItem#0",0,0,0
3233,"MirageStoreSetItem#50663","MirageStoreSetItem#0",0,0,0
3234,"MirageStoreSetItem#50664","MirageStoreSetItem#0",0,0,0
3235,"MirageStoreSetItem#50665","MirageStoreSetItem#0",0,0,0
3236,"MirageStoreSetItem#50666","MirageStoreSetItem#0",0,0,0
3237,"MirageStoreSetItem#50667","MirageStoreSetItem#0",0,0,0
3238,"MirageStoreSetItem#50668","MirageStoreSetItem#0",0,0,0
3239,"MirageStoreSetItem#50669","MirageStoreSetItem#0",0,0,0
3286,"MirageStoreSetItem#45102","MirageStoreSetItem#0",0,0,0
3287,"MirageStoreSetItem#45103","MirageStoreSetItem#0",0,0,0
3288,"MirageStoreSetItem#45104","MirageStoreSetItem#0",0,0,0
3289,"MirageStoreSetItem#45105","MirageStoreSetItem#0",0,0,0
3290,"MirageStoreSetItem#45106","MirageStoreSetItem#0",0,0,0
3291,"MirageStoreSetItem#45107","MirageStoreSetItem#0",0,0,0
3292,"MirageStoreSetItem#45108","MirageStoreSetItem#0",0,0,0
3293,"MirageStoreSetItem#45109","MirageStoreSetItem#0",0,0,0
3294,"MirageStoreSetItem#45110","MirageStoreSetItem#0",0,0,0
3295,"MirageStoreSetItem#45111","MirageStoreSetItem#0",0,0,0
3296,"MirageStoreSetItem#50467","MirageStoreSetItem#0",0,0,0
3297,"MirageStoreSetItem#50468","MirageStoreSetItem#0",0,0,0
3298,"MirageStoreSetItem#50469","MirageStoreSetItem#0",0,0,0
3299,"MirageStoreSetItem#50470","MirageStoreSetItem#0",0,0,0
3300,"MirageStoreSetItem#50471","MirageStoreSetItem#0",0,0,0
3301,"MirageStoreSetItem#50472","MirageStoreSetItem#0",0,0,0
3302,"MirageStoreSetItem#50473","MirageStoreSetItem#0",0,0,0
3303,"MirageStoreSetItem#50474","MirageStoreSetItem#0",0,0,0
3304,"MirageStoreSetItem#50475","MirageStoreSetItem#0",0,0,0
3305,"MirageStoreSetItem#50476","MirageStoreSetItem#0",0,0,0
3329,"MirageStoreSetItem#51327","MirageStoreSetItem#0",0,0,0
3330,"MirageStoreSetItem#51328","MirageStoreSetItem#0",0,0,0
3380,"MirageStoreSetItem#51330","MirageStoreSetItem#0",0,0,0
3381,"MirageStoreSetItem#51331","MirageStoreSetItem#0",0,0,0
3382,"MirageStoreSetItem#51329","MirageStoreSetItem#0",0,0,0
3445,"MirageStoreSetItem#51332","MirageStoreSetItem#0",0,0,0
3446,"MirageStoreSetItem#51333","MirageStoreSetItem#0",0,0,0
3481,"MirageStoreSetItem#50659","MirageStoreSetItem#0",0,0,0
3482,"MirageStoreSetItem#50660","MirageStoreSetItem#0",0,0,0
3483,"MirageStoreSetItem#50661","MirageStoreSetItem#0",0,0,0
3484,"MirageStoreSetItem#50662","MirageStoreSetItem#0",0,0,0
3485,"MirageStoreSetItem#50663","MirageStoreSetItem#0",0,0,0
3486,"MirageStoreSetItem#50664","MirageStoreSetItem#0",0,0,0
3487,"MirageStoreSetItem#50665","MirageStoreSetItem#0",0,0,0
3488,"MirageStoreSetItem#50666","MirageStoreSetItem#0",0,0,0
3489,"MirageStoreSetItem#50667","MirageStoreSetItem#0",0,0,0
3490,"MirageStoreSetItem#50668","MirageStoreSetItem#0",0,0,0
3491,"MirageStoreSetItem#50669","MirageStoreSetItem#0",0,0,0
3520,"MirageStoreSetItem#50467","MirageStoreSetItem#0",0,0,0
3521,"MirageStoreSetItem#50468","MirageStoreSetItem#0",0,0,0
3522,"MirageStoreSetItem#50469","MirageStoreSetItem#0",0,0,0
3523,"MirageStoreSetItem#50470","MirageStoreSetItem#0",0,0,0
3524,"MirageStoreSetItem#50471","MirageStoreSetItem#0",0,0,0
3525,"MirageStoreSetItem#50472","MirageStoreSetItem#0",0,0,0
3526,"MirageStoreSetItem#50473","MirageStoreSetItem#0",0,0,0
3527,"MirageStoreSetItem#50474","MirageStoreSetItem#0",0,0,0
3528,"MirageStoreSetItem#50475","MirageStoreSetItem#0",0,0,0
3529,"MirageStoreSetItem#50476","MirageStoreSetItem#0",0,0,0
3554,"MirageStoreSetItem#51327","MirageStoreSetItem#0",0,0,0
3555,"MirageStoreSetItem#51328","MirageStoreSetItem#0",0,0,0
3608,"MirageStoreSetItem#51330","MirageStoreSetItem#0",0,0,0
3609,"MirageStoreSetItem#51331","MirageStoreSetItem#0",0,0,0
3610,"MirageStoreSetItem#51329","MirageStoreSetItem#0",0,0,0
3706,"MirageStoreSetItem#50659","MirageStoreSetItem#0",0,0,0
3707,"MirageStoreSetItem#50660","MirageStoreSetItem#0",0,0,0
3708,"MirageStoreSetItem#50661","MirageStoreSetItem#0",0,0,0
3709,"MirageStoreSetItem#50662","MirageStoreSetItem#0",0,0,0
3710,"MirageStoreSetItem#50663","MirageStoreSetItem#0",0,0,0
3711,"MirageStoreSetItem#50664","MirageStoreSetItem#0",0,0,0
3712,"MirageStoreSetItem#50665","MirageStoreSetItem#0",0,0,0
3713,"MirageStoreSetItem#50666","MirageStoreSetItem#0",0,0,0
3714,"MirageStoreSetItem#50667","MirageStoreSetItem#0",0,0,0
3715,"MirageStoreSetItem#50668","MirageStoreSetItem#0",0,0,0
3716,"MirageStoreSetItem#50669","MirageStoreSetItem#0",0,0,0
3747,"MirageStoreSetItem#45094","MirageStoreSetItem#0",0,0,0
3750,"MirageStoreSetItem#50467","MirageStoreSetItem#0",0,0,0
3751,"MirageStoreSetItem#50468","MirageStoreSetItem#0",0,0,0
3752,"MirageStoreSetItem#50469","MirageStoreSetItem#0",0,0,0
3753,"MirageStoreSetItem#50470","MirageStoreSetItem#0",0,0,0
3754,"MirageStoreSetItem#50471","MirageStoreSetItem#0",0,0,0
3755,"MirageStoreSetItem#50472","MirageStoreSetItem#0",0,0,0
3756,"MirageStoreSetItem#50473","MirageStoreSetItem#0",0,0,0
3757,"MirageStoreSetItem#50474","MirageStoreSetItem#0",0,0,0
3758,"MirageStoreSetItem#50475","MirageStoreSetItem#0",0,0,0
3759,"MirageStoreSetItem#50476","MirageStoreSetItem#0",0,0,0
3786,"MirageStoreSetItem#51327","MirageStoreSetItem#0",0,0,0
3787,"MirageStoreSetItem#51328","MirageStoreSetItem#0",0,0,0
3838,"MirageStoreSetItem#51330","MirageStoreSetItem#0",0,0,0
3839,"MirageStoreSetItem#51331","MirageStoreSetItem#0",0,0,0
3840,"MirageStoreSetItem#51329","MirageStoreSetItem#0",0,0,0
3927,"MirageStoreSetItem#50659","MirageStoreSetItem#0",0,0,0
3928,"MirageStoreSetItem#50660","MirageStoreSetItem#0",0,0,0
3929,"MirageStoreSetItem#50661","MirageStoreSetItem#0",0,0,0
3930,"MirageStoreSetItem#50662","MirageStoreSetItem#0",0,0,0
3931,"MirageStoreSetItem#50663","MirageStoreSetItem#0",0,0,0
3932,"MirageStoreSetItem#50664","MirageStoreSetItem#0",0,0,0
3933,"MirageStoreSetItem#50665","MirageStoreSetItem#0",0,0,0
3934,"MirageStoreSetItem#50666","MirageStoreSetItem#0",0,0,0
3935,"MirageStoreSetItem#50667","MirageStoreSetItem#0",0,0,0
3936,"MirageStoreSetItem#50668","MirageStoreSetItem#0",0,0,0
3937,"MirageStoreSetItem#50669","MirageStoreSetItem#0",0,0,0
6041,"MirageStoreSetItem#50486","MirageStoreSetItem#0",0,0,0
6042,"MirageStoreSetItem#50486","MirageStoreSetItem#0",0,0,0
6043,"MirageStoreSetItem#50486","MirageStoreSetItem#0",0,0,0
6044,"MirageStoreSetItem#50486","MirageStoreSetItem#0",0,0,0
6045,"MirageStoreSetItem#50487","MirageStoreSetItem#0",0,0,0
6046,"MirageStoreSetItem#50487","MirageStoreSetItem#0",0,0,0
6047,"MirageStoreSetItem#50487","MirageStoreSetItem#0",0,0,0
6048,"MirageStoreSetItem#50487","MirageStoreSetItem#0",0,0,0
6049,"MirageStoreSetItem#50520","MirageStoreSetItem#0",0,0,0
6050,"MirageStoreSetItem#50520","MirageStoreSetItem#0",0,0,0
