key,0,1,2,3,4,5
#,Item{Disposed},HQ{Disposed},Item{Received},HQ{Received},Quantity{Received},
int32,Item,bit&01,Item,bit&02,uint32,uint16
3473408.0,"",False,"",False,0,0
3473409.0,"Mistfall Sallet of Fending",False,"Brass Sky Pirate Spoil",False,1,1000
3473409.1,"Mistfall Hauberk of Fending",False,"Brass Sky Pirate Spoil",False,1,999
3473409.2,"Mistfall Gauntlets of Fending",False,"Brass Sky Pirate Spoil",False,1,998
3473409.3,"Mistfall Tassets of Fending",False,"Brass Sky Pirate Spoil",False,1,997
3473409.4,"Mistfall Breeches of Fending",False,"Brass Sky Pirate Spoil",False,1,996
3473409.5,"Mistfall Sabatons of Fending",False,"Brass Sky Pirate Spoil",False,1,995
3473409.6,"Mistfall Sallet of Maiming",False,"Brass Sky Pirate Spoil",False,1,994
3473409.7,"Mistfall Hauberk of Maiming",False,"Brass Sky Pirate Spoil",False,1,993
3473409.8,"Mistfall Gauntlets of Maiming",False,"Brass Sky Pirate Spoil",False,1,992
3473409.9,"Mistfall Tassets of Maiming",False,"Brass Sky Pirate Spoil",False,1,991
3473409.10,"Mistfall Breeches of Maiming",False,"Brass Sky Pirate Spoil",False,1,990
3473409.11,"Mistfall Sabatons of Maiming",False,"Brass Sky Pirate Spoil",False,1,989
3473409.12,"Mistfall Circlet of Striking",False,"Brass Sky Pirate Spoil",False,1,988
3473409.13,"Mistfall Bolero of Striking",False,"Brass Sky Pirate Spoil",False,1,987
3473409.14,"Mistfall Gloves of Striking",False,"Brass Sky Pirate Spoil",False,1,986
3473409.15,"Mistfall Belt of Striking",False,"Brass Sky Pirate Spoil",False,1,985
3473409.16,"Mistfall Culottes of Striking",False,"Brass Sky Pirate Spoil",False,1,984
3473409.17,"Mistfall Boots of Striking",False,"Brass Sky Pirate Spoil",False,1,983
3473409.18,"Mistfall Cap of Aiming",False,"Brass Sky Pirate Spoil",False,1,982
3473409.19,"Mistfall Robe of Aiming",False,"Brass Sky Pirate Spoil",False,1,981
3473409.20,"Mistfall Gloves of Aiming",False,"Brass Sky Pirate Spoil",False,1,980
3473409.21,"Mistfall Sash of Aiming",False,"Brass Sky Pirate Spoil",False,1,979
3473409.22,"Mistfall Slops of Aiming",False,"Brass Sky Pirate Spoil",False,1,978
3473409.23,"Mistfall Shoes of Aiming",False,"Brass Sky Pirate Spoil",False,1,977
3473409.24,"Mistfall Coif of Scouting",False,"Brass Sky Pirate Spoil",False,1,976
3473409.25,"Mistfall Shirt of Scouting",False,"Brass Sky Pirate Spoil",False,1,975
3473409.26,"Mistfall Halfgloves of Scouting",False,"Brass Sky Pirate Spoil",False,1,974
3473409.27,"Mistfall Sash of Scouting",False,"Brass Sky Pirate Spoil",False,1,973
3473409.28,"Mistfall Sarouel of Scouting",False,"Brass Sky Pirate Spoil",False,1,972
